% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
29 +4.845719978e+05 +4.845719978e+05 +4.847039178e+05 +4.847039178e+05 -2.8995e+00 +4.5200e+00 +4.6392e-01 -3.6985e+00 +2.7764e+00 +8.8657e-01 -3.2762e+00 +2.4535e-01 -4.7413e+00 +5.8459e-01 -4.5765e+00 +4.9015e+00 -4.0412e+00 +3.4970e+00 -1.0414e+00 -2.6749e+00 +2.0578e+00 +2.9464e+00 -9.1520e-01 -1.2307e+00
% function evaluation | noise-free fitness - Fopt (5.908400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.935385366e+05 +2.935385366e+05 +2.941293766e+05 +2.941293766e+05 -1.4689e+00 -2.4568e+00 -7.1028e-01 +2.0798e+00 +3.5553e+00 +3.9827e+00 -2.8762e+00 -4.6968e+00 +3.7908e-01 +1.9191e+00 -2.1401e+00 +1.8116e-01 +4.6428e+00 +1.3049e+00 +3.6872e+00 +5.7724e-01 +1.9179e+00 +9.1233e-01 +5.1483e-01 -1.7226e+00
25 +2.310983901e+05 +2.310983901e+05 +2.316892301e+05 +2.316892301e+05 -9.2007e-01 -3.4270e+00 -1.6113e+00 +2.1387e+00 +1.7818e+00 -2.7942e+00 -3.9488e+00 +1.6048e+00 -2.5620e+00 -2.4310e-01 -3.5505e-01 -2.3031e+00 -3.1629e+00 +2.3066e-01 +2.7611e+00 +1.2091e+00 -4.9159e+00 +6.8951e-01 +3.9269e+00 +4.7648e+00
129 +1.267231942e+05 +1.267231942e+05 +1.273140342e+05 +1.273140342e+05 +3.6306e-01 -8.6878e-02 -3.4353e+00 +1.9871e+00 +4.7604e+00 +2.1846e+00 +1.6799e+00 +3.4733e+00 +4.4777e+00 +5.3056e-01 -1.5551e+00 +1.5830e-01 -3.4925e+00 +4.1975e+00 +1.4945e+00 +2.6214e+00 -3.5817e+00 -3.0776e+00 +4.1064e+00 +1.6184e+00
% function evaluation | noise-free fitness - Fopt (-1.280000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.370426782e+05 +3.370426782e+05 +3.370298782e+05 +3.370298782e+05 +3.7912e+00 -4.0360e+00 -1.4083e+00 -8.8941e-01 -4.7211e+00 +4.0158e+00 +4.0271e+00 -9.6421e-01 +1.0723e+00 -1.7989e-01 +4.0220e+00 +2.4340e+00 -3.8959e+00 -3.7397e+00 -3.4244e+00 -4.2603e+00 +3.5016e+00 +4.1888e+00 +4.5040e+00 -4.8244e+00
% function evaluation | noise-free fitness - Fopt (-1.061000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.158000166e+05 +9.158000166e+05 +9.157894066e+05 +9.157894066e+05 +2.8687e+00 -8.6572e-01 -2.9440e+00 +3.2351e+00 +1.6235e+00 +1.6295e+00 +2.8139e+00 +2.3271e+00 +1.4253e+00 +3.7291e+00 -2.9800e+00 -3.9583e+00 +4.6228e+00 +6.0320e-01 -3.5269e+00 +4.4225e+00 +3.1916e+00 -4.3462e-01 -1.8210e+00 -3.3367e+00
2 +5.748684752e+05 +5.748684752e+05 +5.748578652e+05 +5.748578652e+05 -3.1012e-01 -2.3262e+00 -3.6151e+00 +3.3573e+00 -4.3203e+00 -4.1362e+00 +2.6705e+00 -1.9704e+00 -2.0501e+00 -7.3302e-01 +3.0778e+00 -2.5979e+00 +8.5017e-01 -1.9437e+00 +1.8905e+00 +1.2397e+00 +4.1968e-01 -2.6726e+00 +3.0692e+00 +1.8101e+00
