% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
8 +7.522993598e+04 +7.522993598e+04 +7.513960598e+04 +7.513960598e+04 -1.1702e+00 +1.1297e+00 -2.5743e+00 -2.3825e+00 +5.6046e-01 -1.5751e+00 +3.9164e+00 -3.9722e+00 +2.3761e+00 -4.9986e+00
16 +4.916728421e+04 +4.916728421e+04 +4.907695421e+04 +4.907695421e+04 -1.7931e+00 +8.8565e-01 -4.2112e+00 +2.9005e+00 +2.9501e-01 +2.0784e-01 -1.5329e-01 +5.6027e-02 -3.4216e+00 +5.0004e-01
24 +2.796731074e+04 +2.796731074e+04 +2.787698074e+04 +2.787698074e+04 +3.3914e+00 +2.0820e+00 +7.6375e-01 -1.9907e+00 -3.3257e+00 -4.8752e+00 +3.0803e+00 -7.0915e-01 +2.5556e+00 +2.9541e+00
40 +1.549778840e+04 +1.549778840e+04 +1.540745840e+04 +1.540745840e+04 +3.5386e+00 +1.5175e+00 -3.1641e+00 +6.9550e-01 -2.0722e+00 -2.1009e+00 +7.7018e-01 -2.9266e-01 -6.4743e-02 -1.3987e+00
% function evaluation | noise-free fitness - Fopt (6.561000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.251345712e+05 +2.251345712e+05 +2.252001812e+05 +2.252001812e+05 +2.1894e-01 -3.6664e+00 +3.1590e-01 +4.8536e+00 +3.1099e+00 -4.0980e+00 +4.3743e+00 +3.2471e-01 -1.9250e+00 -3.8697e+00
2 +7.450845313e+04 +7.450845313e+04 +7.457406313e+04 +7.457406313e+04 -8.8001e-01 +1.0888e+00 -2.8361e+00 +4.2637e+00 -1.0422e+00 +3.1356e+00 +1.7743e+00 -4.3690e-01 +4.1935e+00 -1.3411e+00
11 +4.373825249e+04 +4.373825249e+04 +4.380386249e+04 +4.380386249e+04 +3.1936e-03 -2.3940e+00 +3.8862e-01 +3.2005e+00 -2.6737e+00 -6.5992e-01 +3.1343e+00 +1.8271e+00 -1.5056e+00 -4.3784e+00
16 +1.349522962e+04 +1.349522962e+04 +1.356083962e+04 +1.356083962e+04 -3.3525e+00 +1.5702e+00 -4.8068e-01 +6.9316e-01 -1.5538e+00 -1.8181e+00 -8.5790e-01 -2.3368e+00 -1.2796e+00 +8.8892e-02
% function evaluation | noise-free fitness - Fopt (-1.536000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
