% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3 +1.397414265e+07 +1.397414265e+07 +1.397514265e+07 +1.397514265e+07
20 +9.703408852e+06 +9.703408852e+06 +9.704408852e+06 +9.704408852e+06
285 +5.439556037e+06 +5.439556037e+06 +5.440556037e+06 +5.440556037e+06
% function evaluation | noise-free fitness - Fopt (-1.148100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.582167750e+07 +3.582167750e+07 +3.582156269e+07 +3.582156269e+07
3 +1.996698042e+07 +1.996698042e+07 +1.996686561e+07 +1.996686561e+07
7 +1.104715205e+07 +1.104715205e+07 +1.104703724e+07 +1.104703724e+07
29 +6.804704661e+06 +6.804704661e+06 +6.804589851e+06 +6.804589851e+06
% function evaluation | noise-free fitness - Fopt (-3.505800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.444516561e+07 +2.444516561e+07 +2.444481503e+07 +2.444481503e+07
6 +1.077037269e+07 +1.077037269e+07 +1.077002211e+07 +1.077002211e+07
18 +7.297235990e+06 +7.297235990e+06 +7.296885410e+06 +7.296885410e+06
% function evaluation | noise-free fitness - Fopt (-5.700000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.714016130e+07 +2.714016130e+07 +2.714015560e+07 +2.714015560e+07
11 +2.122283140e+07 +2.122283140e+07 +2.122282570e+07 +2.122282570e+07
14 +1.373111945e+07 +1.373111945e+07 +1.373111375e+07 +1.373111375e+07
218 +9.146300386e+06 +9.146300386e+06 +9.146294686e+06 +9.146294686e+06
