% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
4 +9.138638367e+01 +9.138638367e+01 -5.885361633e+01 -5.885361633e+01 +3.6420e+00 +2.7196e+00
% function evaluation | noise-free fitness - Fopt (7.470000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.426070923e+02 +5.426070923e+02 +6.173070923e+02 +6.173070923e+02 -1.1940e+00 -9.0881e-01
4 +9.390087676e+01 +9.390087676e+01 +1.686008768e+02 +1.686008768e+02 -5.6546e-01 +1.6146e+00
10 +3.577453682e+01 +3.577453682e+01 +1.104745368e+02 +1.104745368e+02 +4.0887e+00 +3.6935e+00
% function evaluation | noise-free fitness - Fopt (-8.478000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.839046094e+02 +8.839046094e+02 +7.991246094e+02 +7.991246094e+02 -1.4951e+00 -1.7836e+00
2 +3.593595081e+02 +3.593595081e+02 +2.745795081e+02 +2.745795081e+02 +4.1641e+00 +1.0140e+00
3 +2.126064287e+02 +2.126064287e+02 +1.278264287e+02 +1.278264287e+02 -2.3708e+00 +1.8268e+00
% function evaluation | noise-free fitness - Fopt (1.620500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.042509275e+02 +2.042509275e+02 +3.663009275e+02 +3.663009275e+02 +2.6007e+00 -1.8919e+00
10 +1.206030513e+02 +1.206030513e+02 +2.826530513e+02 +2.826530513e+02 +4.7917e+00 -2.8798e+00
19 +2.168684520e+01 +2.168684520e+01 +1.837368452e+02 +1.837368452e+02 +1.0401e+00 -4.5434e+00
% function evaluation | noise-free fitness - Fopt (-3.549000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.334575535e+02 +4.334575535e+02 +3.979675535e+02 +3.979675535e+02 +2.9093e+00 +1.0539e-01
8 +7.836671678e+01 +7.836671678e+01 +4.287671678e+01 +4.287671678e+01 -4.0417e+00 -2.1009e+00
% function evaluation | noise-free fitness - Fopt (1.762000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.633299905e+02 +7.633299905e+02 +9.395299905e+02 +9.395299905e+02 -3.8232e+00 +4.9232e+00
2 +7.494419625e+01 +7.494419625e+01 +2.511441963e+02 +2.511441963e+02 +7.3398e-02 +3.2555e-01
