% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
% function evaluation | noise-free fitness - Fopt (7.470000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.753853777e+03 +1.753853777e+03 +1.828553777e+03 +1.828553777e+03 +1.4218e+00 -4.6827e+00 -4.1789e+00
2 +1.332557623e+03 +1.332557623e+03 +1.407257623e+03 +1.407257623e+03 +9.9569e-01 -8.1399e-01 -3.6114e+00
3 +3.259859042e+02 +3.259859042e+02 +4.006859042e+02 +4.006859042e+02 +3.7024e+00 +1.7380e+00 +4.6683e+00
15 +2.343010241e+02 +2.343010241e+02 +3.090010241e+02 +3.090010241e+02 +3.9546e+00 +4.8679e+00 -1.1551e+00
% function evaluation | noise-free fitness - Fopt (-8.478000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.003215404e+03 +3.003215404e+03 +2.918435404e+03 +2.918435404e+03 -1.4684e+00 -4.9934e+00 -4.4259e+00
3 +4.645494933e+02 +4.645494933e+02 +3.797694933e+02 +3.797694933e+02 +2.8660e+00 +9.2280e-01 +6.3922e-01
6 +2.965154350e+02 +2.965154350e+02 +2.117354350e+02 +2.117354350e+02 +3.0867e+00 +2.7975e+00 +3.9691e-01
% function evaluation | noise-free fitness - Fopt (1.620500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.928679682e+02 +7.928679682e+02 +9.549179682e+02 +9.549179682e+02 +3.5619e+00 -2.3113e-02 +1.7270e+00
2 +5.911295253e+02 +5.911295253e+02 +7.531795253e+02 +7.531795253e+02 +4.8682e+00 -1.9190e+00 -2.4649e+00
5 +2.468256697e+02 +2.468256697e+02 +4.088756697e+02 +4.088756697e+02 +2.9992e+00 -2.0969e+00 +6.5212e-01
12 +9.982053096e+01 +9.982053096e+01 +2.618705310e+02 +2.618705310e+02 +3.2580e+00 -3.4052e+00 +2.4292e+00
% function evaluation | noise-free fitness - Fopt (-3.549000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.076218380e+02 +3.076218380e+02 +2.721318380e+02 +2.721318380e+02 -1.5596e+00 -2.8901e-01 -2.3755e+00
% function evaluation | noise-free fitness - Fopt (1.762000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.639463964e+03 +1.639463964e+03 +1.815663964e+03 +1.815663964e+03 -2.6863e-01 +3.3570e+00 -3.4184e+00
3 +9.701024893e+02 +9.701024893e+02 +1.146302489e+03 +1.146302489e+03 +2.9522e+00 +1.5196e+00 +1.8938e+00
8 +6.093129311e+02 +6.093129311e+02 +7.855129311e+02 +7.855129311e+02 -1.7318e+00 -1.6480e+00 +4.0769e+00
25 +2.976062227e+02 +2.976062227e+02 +4.738062227e+02 +4.738062227e+02 -2.2541e+00 +2.1069e+00 +3.7264e+00
