% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.265863486e+03 +2.265863486e+03 +2.358803486e+03 +2.358803486e+03 -1.4847e+00 -3.8682e+00 -1.6406e+00 -4.2195e+00 +7.1376e-02 +4.6511e+00 +4.5133e+00 -3.7354e+00 +4.0002e-01 -4.0496e+00 -5.6217e-01 +4.1374e+00 +4.6209e+00 +4.9758e+00 -2.0718e+00 -2.7313e+00 +2.9546e+00 +1.9900e+00 +2.6724e+00 -1.3721e-01
10 +9.744678793e+02 +9.744678793e+02 +1.067407879e+03 +1.067407879e+03 -1.6813e+00 +4.1196e-01 +1.6397e+00 +3.6539e+00 +1.9441e-01 +4.3176e+00 -2.4827e+00 -2.9034e+00 +2.6096e+00 -8.4180e-02 +3.4366e+00 -2.7681e+00 -1.2262e+00 +4.1379e-02 +3.2591e+00 +2.7936e+00 -1.9893e+00 -1.3972e+00 -7.1701e-01 +2.0292e+00
13 +6.253137901e+02 +6.253137901e+02 +7.182537901e+02 +7.182537901e+02 +1.1633e+00 -3.4769e+00 +8.4760e-01 -1.0689e+00 +4.0426e+00 +2.4546e+00 +2.6920e-01 -2.2522e+00 +2.8619e+00 +4.5180e+00 -6.1541e-02 -4.8818e+00 +1.6699e+00 +1.2382e+00 -3.3562e-02 +2.8674e+00 -9.1570e-01 +2.2039e+00 -2.7566e+00 +1.0640e-01
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.289605304e+03 +6.289605304e+03 +6.324955304e+03 +6.324955304e+03 -1.1087e+00 -1.8208e+00 +1.4971e+00 -4.3122e+00 -4.0351e+00 -1.5518e-01 +4.8613e+00 +3.4943e+00 -3.7158e+00 +2.8287e+00 -9.5655e-01 -1.2799e+00 -3.6942e+00 -4.6927e+00 +4.1790e+00 -4.5978e+00 +1.5740e+00 +1.9254e+00 -1.6297e+00 +3.1474e+00
4 +3.220008067e+03 +3.220008067e+03 +3.255358067e+03 +3.255358067e+03 -4.2091e+00 +1.5063e+00 +2.4758e+00 -2.2928e+00 -2.5613e+00 -4.7025e+00 -2.1329e+00 -1.9124e+00 -1.7997e+00 +2.1428e+00 +2.7025e+00 +4.7698e+00 +2.7196e+00 +4.8283e+00 +2.3534e+00 +3.8281e+00 -6.2709e-01 -4.0702e+00 +6.4242e-01 +4.6496e+00
5 +1.902080046e+03 +1.902080046e+03 +1.937430046e+03 +1.937430046e+03 -3.9217e+00 +7.4698e-01 +1.4046e+00 +1.9647e+00 -4.8737e+00 -4.7590e+00 -2.2037e-03 -3.4415e+00 -3.9295e+00 -3.9279e+00 -3.3120e+00 -4.3253e+00 -1.1471e+00 -2.1064e+00 -4.0399e+00 +4.0933e+00 +4.7109e+00 -1.5284e+00 +1.9577e+00 +1.7015e+00
50 +8.722498798e+02 +8.722498798e+02 +9.075998798e+02 +9.075998798e+02 -7.9250e-01 -3.4931e+00 +1.0775e+00 +4.7650e+00 -1.4124e+00 -2.8691e+00 +1.4606e-01 +1.4107e+00 +2.7509e+00 +4.7303e+00 +2.1632e+00 -4.1435e-01 +2.4571e+00 +4.2048e+00 +1.0634e+00 +3.6770e+00 +3.2643e+00 +1.5450e+00 +3.5599e+00 +3.4851e+00
% function evaluation | noise-free fitness - Fopt (3.820000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.480997083e+03 +2.480997083e+03 +2.484817083e+03 +2.484817083e+03 -2.3983e+00 -4.8966e+00 +2.9596e+00 -2.9823e+00 -2.9738e+00 +4.6332e-01 +2.0974e+00 +4.2528e+00 +3.8284e+00 -4.4515e+00 +4.9831e+00 +1.9680e-01 +3.7074e+00 +4.3118e+00 -4.7250e+00 +2.5771e+00 -2.9051e+00 +4.2704e+00 +4.7097e+00 -3.5779e+00
7 +1.488727145e+03 +1.488727145e+03 +1.492547145e+03 +1.492547145e+03 +2.3154e+00 +7.5011e-01 -3.6374e+00 -4.8412e+00 +1.3388e+00 -3.4176e+00 -6.7297e-01 +3.4727e+00 +2.0502e-01 +4.9150e+00 -2.1073e+00 +5.5471e-01 -8.4161e-01 -4.0502e+00 -1.1439e-01 +1.3352e+00 +4.6297e+00 -1.2980e+00 -3.0259e+00 -2.4110e+00
40 +9.445557021e+02 +9.445557021e+02 +9.483757021e+02 +9.483757021e+02 +2.6632e+00 -2.5675e+00 -1.7474e+00 -1.3866e+00 -4.1842e+00 +2.9064e+00 +8.2020e-01 +2.6727e-01 -1.5202e+00 -1.0712e+00 +1.9954e+00 -3.4177e+00 +2.1164e+00 -3.8812e+00 -2.2385e+00 +4.6029e+00 +2.4264e+00 -3.7824e+00 -2.0033e-01 +4.6066e-01
